22.12.2023 0:00:24;Outdoor;Room;Room set Day;Hot water;Hot water set;Heating 1;Heating 1 set;Heating 2 (mixer);Heating 2 set;Actual flow;6-1-4 Set buff;0052 BURNER;PUMP HOT WATER;PUMP HEATING;0064 COLLECTOR_PUMP;fdac PUMP MIXER?;fdbf RELEASE_2WE;
22.12.2023 0:00:24;3,60;20,30;23,00;44,50;42,00;37,70;38,20;32,70;34,30;39,50;38,20;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:01:49;3,60;20,30;23,00;44,50;42,00;37,20;38,20;32,70;34,30;39,10;38,60;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:03:14;3,60;20,30;23,00;44,50;42,00;37,20;38,20;32,70;34,30;38,90;38,20;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:04:39;3,60;20,30;23,00;44,50;42,00;37,20;38,20;32,70;34,30;38,90;38,20;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:06:04;3,60;20,20;23,00;44,50;42,00;36,80;38,20;32,70;34,30;38,50;38,20;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:07:29;3,60;20,30;23,00;44,50;42,00;36,60;38,60;32,60;34,30;38,40;38,20;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:08:54;3,60;20,20;23,00;44,50;42,00;36,60;38,20;32,20;34,30;38,40;38,60;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:10:19;3,60;20,30;23,00;44,50;42,00;36,40;38,60;32,70;34,30;37,80;38,20;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:11:44;3,60;20,30;23,00;44,50;42,00;36,00;38,20;32,70;34,30;37,80;38,20;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:13:09;3,60;20,20;23,00;44,50;42,00;36,00;38,60;32,70;34,30;37,80;38,20;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:14:34;3,60;20,30;23,00;44,50;42,00;36,00;38,20;32,70;34,30;37,20;38,60;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:15:59;3,60;20,20;23,00;44,50;42,00;35,70;38,60;32,70;34,20;37,20;38,20;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:17:24;3,60;20,30;23,00;44,50;42,00;35,50;38,60;32,70;34,30;37,20;38,50;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:18:49;3,70;20,20;23,00;44,50;42,00;35,50;38,50;32,40;34,20;36,60;38,10;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:20:14;3,70;20,30;23,00;44,50;42,00;35,30;38,50;32,20;34,20;36,60;38,00;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:21:39;3,90;20,20;23,00;44,50;42,00;34,90;38,00;32,20;34,10;36,60;38,00;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:23:04;3,90;20,20;23,00;44,50;42,00;34,90;38,00;32,10;34,10;36,10;37,90;1,00;0,00;0,00;0,00;1,20;1,25;
22.12.2023 0:24:29;4,00;20,30;23,00;44,50;42,00;34,90;37,80;32,00;34,00;36,10;38,20;1,00;0,00;0,00;0,00;1,20;1,25;
